dataset,llm,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
LC-QuAD,deepseek-chat,0.3,0.1533,0.4333,0.3133,0.4933,0.0267,0.6026,0.4925,0.2264,0.2699,0.9,0.84,1.0,0.9133,0.58,0.4733,0.9437,0.9205,0.4136,0.5471,0.6,0.6867,0.5667,0.6,0.0867,0.4466,0.3411,0.428,0.1872,0.2772
LC-QuAD,deepseek-reasoner,0.14,0.1067,0.38,0.2667,0.8533,0.0733,0.4725,0.3936,0.0436,0.3008,0.6333,0.5933,1.0,0.6933,0.8133,0.4867,0.6676,0.7521,0.1663,0.5834,0.4933,0.4866,0.62,0.4266,-0.04,0.4134,0.1951,0.3585,0.1227,0.2826
LC-QuAD,gemini-2.0-flash,0.24,0.08,0.3533,0.28,0.64,0.0333,0.522,0.392,0.1275,0.2705,0.9267,0.8,1.0,0.9467,0.8267,0.6667,0.9631,0.9319,0.1028,0.8089,0.6867,0.72,0.6467,0.6667,0.1867,0.6334,0.4411,0.5399,-0.0247,0.5384
LC-QuAD,gemini-2.5-flash,0.2733,0.1667,0.4667,0.28,0.8467,0.1533,0.5536,0.4671,0.039,0.3603,0.9067,0.94,1.0,0.9533,0.9267,0.8933,0.9517,0.9573,0.0706,0.8778,0.6334,0.7733,0.5333,0.6733,0.08,0.74,0.3981,0.4902,0.0316,0.5175
LC-QuAD,gemini-2.5-pro,0.24,0.1733,0.4067,0.34,0.8467,0.14,0.5941,0.5123,0.0378,0.4193,0.94,0.9,1.0,0.9667,0.9533,0.8667,0.9747,0.971,0.0467,0.9275,0.7,0.7267,0.5933,0.6267,0.1066,0.7267,0.3806,0.4587,0.0089,0.5082
LC-QuAD,gpt-4.1-2025-04-14,0.2333,0.0867,0.3867,0.2467,0.6733,0.0533,0.5444,0.4429,0.1049,0.294,0.9267,0.88,1.0,0.98,0.9,0.7867,0.9728,0.9751,0.0941,0.8781,0.6934,0.7933,0.6133,0.7333,0.2267,0.7334,0.4284,0.5322,-0.0108,0.5841
LC-QuAD,gpt-4.1-mini-2025-04-14,0.1867,0.0733,0.3733,0.2467,0.6733,0.0267,0.4461,0.3574,0.12,0.2014,0.88,0.8867,1.0,0.96,0.76,0.6467,0.9439,0.9571,0.24,0.7256,0.6933,0.8134,0.6267,0.7133,0.0867,0.62,0.4978,0.5997,0.12,0.5242
LC-QuAD,gpt-4.1-nano-2025-04-14,0.18,0.12,0.3533,0.2733,0.6733,0.04,0.3369,0.2433,0.194,0.1084,0.9867,0.5133,1.0,0.5133,0.4267,0.0,0.99,0.7011,0.5733,0.0,0.8067,0.3933,0.6467,0.24,-0.2466,-0.04,0.6531,0.4578,0.3793,-0.1084
LC-QuAD,gpt-4o,0.4333,0.26,0.52,0.46,0.5333,0.0133,0.6143,0.5001,0.3804,0.1962,0.9867,0.9733,1.0,0.9933,0.1933,0.1667,0.9867,0.9945,0.7964,0.1887,0.5534,0.7133,0.48,0.5333,-0.34,0.1534,0.3724,0.4944,0.416,-0.0075
LC-QuAD,gpt-5,0.5667,0.3,0.5533,0.54,0.78,0.1133,0.7586,0.5924,0.2037,0.4188,0.9533,0.8533,1.0,0.94,0.72,0.5933,0.9791,0.9101,0.28,0.6785,0.3866,0.5533,0.4467,0.4,-0.06,0.48,0.2205,0.3177,0.0763,0.2597
LC-QuAD,gpt-5-mini,0.6467,0.4733,0.6467,0.6667,0.5533,0.0933,0.7288,0.6537,0.4391,0.3288,0.8867,0.68,1.0,0.78,0.5733,0.2667,0.9149,0.783,0.4267,0.3677,0.24,0.2067,0.3533,0.1133,0.02,0.1734,0.1861,0.1293,-0.0124,0.0389
LC-QuAD,gpt-5-nano,0.6133,0.4333,0.6267,0.6133,0.5733,0.0933,0.7049,0.5967,0.4037,0.2769,0.7933,0.7067,1.0,0.78,0.18,0.0067,0.7933,0.7768,0.82,0.08,0.18,0.2734,0.3733,0.1667,-0.3933,-0.0866,0.0884,0.1801,0.4163,-0.1969
